Time,Quaternions, Accelaration 
[2023-07-26 15:57:01.440334],[0.794,-0.083,-0.526,-0.294], [0.135,0.945,0.289]
[2023-07-26 15:57:01.540572],[0.793,-0.084,-0.527,-0.295], [0.115,0.943,0.255]
[2023-07-26 15:57:01.640820],[0.790,-0.083,-0.531,-0.296], [0.136,0.941,0.284]
[2023-07-26 15:57:01.741067],[0.788,-0.083,-0.531,-0.299], [0.103,0.953,0.317]
[2023-07-26 15:57:01.841314],[0.788,-0.081,-0.531,-0.301], [0.098,0.969,0.250]
[2023-07-26 15:57:01.941562],[0.788,-0.080,-0.531,-0.303], [0.133,0.939,0.247]
[2023-07-26 15:57:02.041829],[0.788,-0.079,-0.531,-0.303], [0.088,0.936,0.250]
[2023-07-26 15:57:02.142082],[0.788,-0.079,-0.531,-0.303], [0.065,0.956,0.244]
[2023-07-26 15:57:02.242328],[0.787,-0.079,-0.530,-0.304], [0.133,0.942,0.288]
[2023-07-26 15:57:02.342576],[0.787,-0.079,-0.530,-0.305], [0.086,0.951,0.229]
[2023-07-26 15:57:02.442839],[0.786,-0.079,-0.531,-0.307], [0.055,0.963,0.256]
[2023-07-26 15:57:02.543084],[0.785,-0.080,-0.531,-0.309], [0.095,0.933,0.304]
[2023-07-26 15:57:02.643330],[0.784,-0.080,-0.532,-0.309], [0.076,0.944,0.302]
[2023-07-26 15:57:02.743579],[0.783,-0.080,-0.533,-0.311], [0.067,0.944,0.219]
[2023-07-26 15:57:02.843827],[0.782,-0.081,-0.533,-0.312], [0.119,0.936,0.331]
[2023-07-26 15:57:02.944075],[0.782,-0.081,-0.533,-0.313], [0.090,0.935,0.392]
[2023-07-26 15:57:03.044323],[0.781,-0.080,-0.533,-0.314], [-0.003,0.958,0.349]
[2023-07-26 15:57:03.144577],[0.781,-0.081,-0.533,-0.315], [0.147,0.930,0.379]
[2023-07-26 15:57:03.244824],[0.781,-0.081,-0.533,-0.315], [0.003,0.956,0.309]
[2023-07-26 15:57:03.345072],[0.781,-0.081,-0.533,-0.316], [0.043,0.955,0.291]
[2023-07-26 15:57:03.445320],[0.781,-0.081,-0.532,-0.317], [0.118,0.953,0.201]
[2023-07-26 15:57:03.545571],[0.781,-0.081,-0.531,-0.317], [0.092,0.949,0.253]
[2023-07-26 15:57:03.645821],[0.781,-0.081,-0.532,-0.318], [0.062,0.958,0.332]
[2023-07-26 15:57:03.746070],[0.781,-0.081,-0.531,-0.319], [0.072,0.949,0.273]
[2023-07-26 15:57:03.846322],[0.781,-0.082,-0.531,-0.318], [0.067,0.939,0.289]
