Time,Quaternions, Accelaration 
[2023-07-27 14:00:47.257484],[0.958,-0.125,-0.056,0.252], [-0.053,-0.098,1.053]
[2023-07-27 14:00:47.366770],[0.958,-0.124,-0.065,0.251], [-0.035,-0.111,1.068]
[2023-07-27 14:00:47.476469],[0.958,-0.125,-0.063,0.250], [0.032,-0.108,1.067]
[2023-07-27 14:00:47.585693],[0.961,-0.134,-0.006,0.243], [-0.145,-0.095,1.020]
[2023-07-27 14:00:47.694915],[0.956,-0.151,0.096,0.231], [-0.299,-0.057,0.851]
[2023-07-27 14:00:47.804140],[0.927,-0.169,0.265,0.204], [-0.471,-0.040,0.820]
[2023-07-27 14:00:47.913361],[0.885,-0.182,0.389,0.176], [-0.906,-0.025,0.707]
[2023-07-27 14:00:48.023580],[0.852,-0.189,0.463,0.156], [-0.916,-0.006,0.482]
[2023-07-27 14:00:48.134797],[0.825,-0.188,0.514,0.144], [-0.938,-0.017,0.372]
[2023-07-27 14:00:48.245015],[0.818,-0.184,0.525,0.145], [-0.951,0.017,0.371]
[2023-07-27 14:00:48.352244],[0.815,-0.179,0.532,0.143], [-0.954,0.008,0.273]
[2023-07-27 14:00:48.460469],[0.819,-0.179,0.527,0.141], [-0.904,0.010,0.354]
[2023-07-27 14:00:48.568727],[0.825,-0.177,0.518,0.142], [-1.085,0.023,0.347]
[2023-07-27 14:00:48.679456],[0.850,-0.175,0.472,0.154], [-0.887,0.002,0.373]
[2023-07-27 14:00:48.788711],[0.866,-0.171,0.441,0.161], [-0.792,0.005,0.528]
[2023-07-27 14:00:48.898932],[0.913,-0.151,0.329,0.186], [-0.526,-0.004,0.693]
[2023-07-27 14:00:49.009151],[0.960,-0.121,0.116,0.226], [-0.269,-0.015,0.923]
[2023-07-27 14:00:49.119369],[0.961,-0.127,0.085,0.229], [-0.453,-0.059,1.016]
[2023-07-27 14:00:49.228613],[0.963,-0.126,0.076,0.227], [-0.390,-0.033,1.016]
[2023-07-27 14:00:49.337815],[0.963,-0.125,0.068,0.228], [-0.286,-0.045,1.022]
[2023-07-27 14:00:49.448033],[0.965,-0.120,0.032,0.233], [-0.247,-0.044,1.044]
[2023-07-27 14:00:49.559250],[0.964,-0.107,-0.039,0.241], [-0.029,-0.059,1.040]
[2023-07-27 14:00:49.669471],[0.963,-0.106,-0.062,0.241], [-0.056,-0.067,1.018]
[2023-07-27 14:00:49.778693],[0.962,-0.106,-0.070,0.241], [-0.044,-0.065,1.012]
[2023-07-27 14:00:49.887429],[0.962,-0.108,-0.067,0.242], [0.003,-0.072,1.049]
