Time,Quaternions, Accelaration 
[2023-07-26 15:36:55.574301],[0.970,-0.036,-0.071,-0.230], [-0.156,0.072,1.030]
[2023-07-26 15:36:55.683256],[0.969,-0.031,-0.068,-0.234], [-0.292,0.073,1.003]
[2023-07-26 15:36:55.792572],[0.969,-0.029,-0.071,-0.237], [-0.125,0.083,1.039]
[2023-07-26 15:36:55.901019],[0.968,-0.028,-0.071,-0.238], [-0.166,0.088,1.020]
[2023-07-26 15:36:56.010876],[0.968,-0.028,-0.071,-0.239], [-0.203,0.077,1.031]
[2023-07-26 15:36:56.119577],[0.968,-0.027,-0.070,-0.240], [-0.271,0.080,0.992]
[2023-07-26 15:36:56.221088],[0.968,-0.027,-0.073,-0.239], [-0.216,0.094,1.023]
[2023-07-26 15:36:56.322209],[0.967,-0.026,-0.079,-0.240], [-0.172,0.109,1.003]
[2023-07-26 15:36:56.432240],[0.967,-0.027,-0.080,-0.239], [-0.173,0.094,1.036]
[2023-07-26 15:36:56.540882],[0.967,-0.027,-0.081,-0.239], [-0.206,0.091,1.017]
[2023-07-26 15:36:56.648688],[0.967,-0.028,-0.082,-0.239], [-0.154,0.097,1.021]
[2023-07-26 15:36:56.757621],[0.968,-0.033,-0.077,-0.235], [-0.166,0.103,0.983]
[2023-07-26 15:36:56.866411],[0.969,-0.039,-0.071,-0.232], [-0.139,0.090,0.984]
[2023-07-26 15:36:56.976052],[0.969,-0.037,-0.076,-0.231], [-0.191,0.086,1.011]
[2023-07-26 15:36:57.085480],[0.970,-0.039,-0.074,-0.230], [-0.192,0.075,0.978]
[2023-07-26 15:36:57.193888],[0.970,-0.040,-0.070,-0.228], [-0.119,0.055,1.102]
[2023-07-26 15:36:57.302664],[0.972,-0.021,-0.056,-0.228], [-0.253,0.090,1.019]
[2023-07-26 15:36:57.410809],[0.972,-0.004,-0.041,-0.231], [-0.305,0.125,0.973]
[2023-07-26 15:36:57.519253],[0.972,-0.003,-0.038,-0.231], [-0.297,0.131,0.977]
[2023-07-26 15:36:57.627923],[0.973,-0.012,-0.043,-0.228], [-0.262,0.127,0.969]
[2023-07-26 15:36:57.737656],[0.973,-0.038,-0.058,-0.221], [-0.218,0.094,1.059]
[2023-07-26 15:36:57.845538],[0.972,-0.054,-0.070,-0.217], [-0.185,0.034,0.984]
